Document_ID,Provinsi,Kategori_Isu,Text,clean,Token,Normalisasi,stopwords,stemmer,Berita,Topik_Dominan,Probabilitas_Topik
D024,Bangka Belitung,Pengawasan PSU,Pengawasan pengadaan dan distribusi logistik PSU Tahun 2025.,pengawasan pengadaan dan distribusi logistik psu tahun,pengawasan pengadaan dan distribusi logistik psu tahun,pengawasan pengadaan dan distribusi logistik psu tahun,pengawasan pengadaan distribusi logistik psu tahun,awas ada distribusi logistik psu tahun,awas ada distribusi logistik psu tahun,Topik 7,0.8748620774725838
D025,Bangka Belitung,Evaluasi Logistik,Evaluasi pelaksanaan distribusi logistik Pemilu dan Pilkada.,evaluasi pelaksanaan distribusi logistik pemilu dan pilkada,evaluasi pelaksanaan distribusi logistik pemilu dan pilkada,evaluasi pelaksanaan distribusi logistik pemilu dan pilkada,evaluasi pelaksanaan distribusi logistik pemilu pilkada,evaluasi laksana distribusi logistik milu pilkada,evaluasi laksana distribusi logistik milu pilkada,Topik 1,0.6527565612581486
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text,text,text,Topik 8,0.5624998876109575
D046,Jawa Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan 2024 Kabupaten Garut.,laporan pengawasan logistik pemilu dan pemilihan kabupaten garut,laporan pengawasan logistik pemilu dan pemilihan kabupaten garut,laporan pengawasan logistik pemilu dan pemilihan kabupaten garut,laporan pengawasan logistik pemilu pemilihan kabupaten garut,lapor awas logistik milu pilih kabupaten garut,lapor awas logistik milu pilih kabupaten garut,Topik 5,0.7103220208781267
D047,Jawa Barat,Distribusi Logistik,Pengawasan tahapan distribusi logistik Pemilu ke seluruh kecamatan di Kabupaten Garut.,pengawasan tahapan distribusi logistik pemilu ke seluruh kecamatan di kabupaten garut,pengawasan tahapan distribusi logistik pemilu ke seluruh kecamatan di kabupaten garut,pengawasan tahapan distribusi logistik pemilu ke seluruh kecamatan di kabupaten garut,pengawasan tahapan distribusi logistik pemilu seluruh kecamatan kabupaten garut,awas tahap distribusi logistik milu seluruh camat kabupaten garut,awas tahap distribusi logistik milu seluruh camat kabupaten garut,Topik 6,0.632819136569199
D048,Jawa Barat,Pengadaan Logistik,Pengawasan proses pengadaan dan ketepatan jumlah logistik Pemilu 2024.,pengawasan proses pengadaan dan ketepatan jumlah logistik pemilu,pengawasan proses pengadaan dan ketepatan jumlah logistik pemilu,pengawasan proses pengadaan dan ketepatan jumlah logistik pemilu,pengawasan proses pengadaan ketepatan jumlah logistik pemilu,awas proses ada tepat jumlah logistik milu,awas proses ada tepat jumlah logistik milu,Topik 2,0.8905588856429683
D049,Jawa Barat,Logistik TPS,Pengawasan kelengkapan serta pemenuhan perlengkapan pemungutan suara di TPS.,pengawasan kelengkapan serta pemenuhan perlengkapan pemungutan suara di tps,pengawasan kelengkapan serta pemenuhan perlengkapan pemungutan suara di tps,pengawasan kelengkapan serta pemenuhan perlengkapan pemungutan suara di tps,pengawasan kelengkapan pemenuhan perlengkapan pemungutan suara tps,awas lengkap penuh lengkap mungut suara tps,awas lengkap penuh lengkap mungut suara tps,Topik 4,0.7062603782515396
D050,Jawa Barat,Evaluasi Logistik,Evaluasi menyeluruh terhadap hasil pengawasan logistik Pemilu 2024 Kabupaten Garut.,evaluasi menyeluruh terhadap hasil pengawasan logistik pemilu kabupaten garut,evaluasi menyeluruh terhadap hasil pengawasan logistik pemilu kabupaten garut,evaluasi menyeluruh terhadap hasil pengawasan logistik pemilu kabupaten garut,evaluasi menyeluruh hasil pengawasan logistik pemilu kabupaten garut,evaluasi seluruh hasil awas logistik milu kabupaten garut,evaluasi seluruh hasil awas logistik milu kabupaten garut,Topik 6,0.9026477444247819
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text,text,text,Topik 8,0.5624998876109575
D051,Jawa Tengah,Pengawasan Logistik,Ruang lingkup laporan pengawasan logistik Pemilu 2024 mencakup manajemen risiko dan pemantauan logistik di Kabupaten Rembang.,ruang lingkup laporan pengawasan logistik pemilu mencakup manajemen risiko dan pemantauan logistik di kabupaten rembang,ruang lingkup laporan pengawasan logistik pemilu mencakup manajemen risiko dan pemantauan logistik di kabupaten rembang,ruang lingkup laporan pengawasan logistik pemilu mencakup manajemen risiko dan pemantauan logistik di kabupaten rembang,ruang lingkup laporan pengawasan logistik pemilu mencakup manajemen risiko pemantauan logistik kabupaten rembang,ruang lingkup lapor awas logistik milu cakup manajemen risiko pantau logistik kabupaten rembang,ruang lingkup lapor awas logistik milu cakup manajemen risiko pantau logistik kabupaten rembang,Topik 5,0.8748889151756492
D052,Jawa Tengah,Evaluasi Logistik,Evaluasi pengawasan logistik terkait pengadaan surat suara DPD dari KPU Provinsi Jawa Tengah untuk PSU di Kabupaten Sukoharjo.,evaluasi pengawasan logistik terkait pengadaan surat suara dpd dari kpu provinsi jawa tengah untuk psu di kabupaten sukoharjo,evaluasi pengawasan logistik terkait pengadaan surat suara dpd dari kpu provinsi jawa tengah untuk psu di kabupaten sukoharjo,evaluasi pengawasan logistik terkait pengadaan surat suara dpd dari kpu provinsi jawa tengah untuk psu di kabupaten sukoharjo,evaluasi pengawasan logistik terkait pengadaan surat suara dpd kpu provinsi jawa tengah psu kabupaten sukoharjo,evaluasi awas logistik kait ada surat suara dpd kpu provinsi jawa tengah psu kabupaten sukoharjo,evaluasi awas logistik kait ada surat suara dpd kpu provinsi jawa tengah psu kabupaten sukoharjo,Topik 7,0.5020138343742037
D053,Jawa Tengah,Distribusi Logistik,Pengawasan melekat terhadap kepatuhan prosedur dan ketepatan waktu pendistribusian logistik Pemilu di Kabupaten Kudus.,pengawasan melekat terhadap kepatuhan prosedur dan ketepatan waktu pendistribusian logistik pemilu di kabupaten kudus,pengawasan melekat terhadap kepatuhan prosedur dan ketepatan waktu pendistribusian logistik pemilu di kabupaten kudus,pengawasan melekat terhadap kepatuhan prosedur dan ketepatan waktu pendistribusian logistik pemilu di kabupaten kudus,pengawasan melekat kepatuhan prosedur ketepatan waktu pendistribusian logistik pemilu kabupaten kudus,awas lekat patuh prosedur tepat waktu distribusi logistik milu kabupaten kudus,awas lekat patuh prosedur tepat waktu distribusi logistik milu kabupaten kudus,Topik 2,0.874786765195493
D054,Jawa Tengah,Logistik TPS,"Pengawasan ketersediaan perlengkapan pemungutan suara, dukungan perlengkapan lainnya, serta perlengkapan pemungutan suara di TPS.",pengawasan ketersediaan perlengkapan pemungutan suara dukungan perlengkapan lainnya serta perlengkapan pemungutan suara di tps,pengawasan ketersediaan perlengkapan pemungutan suara dukungan perlengkapan lainnya serta perlengkapan pemungutan suara di tps,pengawasan ketersediaan perlengkapan pemungutan suara dukungan perlengkapan lainnya serta perlengkapan pemungutan suara di tps,pengawasan ketersediaan perlengkapan pemungutan suara dukungan perlengkapan lainnya perlengkapan pemungutan suara tps,awas sedia lengkap mungut suara dukung lengkap lain lengkap mungut suara tps,awas sedia lengkap mungut suara dukung lengkap lain lengkap mungut suara tps,Topik 4,0.9124463369698457
D055,Jawa Tengah,Instruksi Logistik,Pelaksanaan instruksi Bawaslu Provinsi Jawa Tengah terkait pengawasan ketat pengadaan dan distribusi logistik Pemilu 2024.,pelaksanaan instruksi bawaslu provinsi jawa tengah terkait pengawasan ketat pengadaan dan distribusi logistik pemilu,pelaksanaan instruksi bawaslu provinsi jawa tengah terkait pengawasan ketat pengadaan dan distribusi logistik pemilu,pelaksanaan instruksi bawaslu provinsi jawa tengah terkait pengawasan ketat pengadaan dan distribusi logistik pemilu,pelaksanaan instruksi bawaslu provinsi jawa tengah terkait pengawasan ketat pengadaan distribusi logistik pemilu,laksana instruksi bawaslu provinsi jawa tengah kait awas ketat ada distribusi logistik milu,laksana instruksi bawaslu provinsi jawa tengah kait awas ketat ada distribusi logistik milu,Topik 2,0.45655259168531925
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text,text,text,Topik 8,0.5624998876109575
D056,Kalimantan Barat,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Barat.,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan barat,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan barat,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan barat,laporan akhir pengawasan logistik pemilu pemilihan tahun provinsi kalimantan barat,lapor akhir awas logistik milu pilih tahun provinsi kalimantan barat,lapor akhir awas logistik milu pilih tahun provinsi kalimantan barat,Topik 5,0.46646541309363715
D057,Kalimantan Barat,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan pada wilayah Kalimantan Barat.,pengawasan distribusi logistik pemilu dan pemilihan pada wilayah kalimantan barat,pengawasan distribusi logistik pemilu dan pemilihan pada wilayah kalimantan barat,pengawasan distribusi logistik pemilu dan pemilihan pada wilayah kalimantan barat,pengawasan distribusi logistik pemilu pemilihan wilayah kalimantan barat,awas distribusi logistik milu pilih wilayah kalimantan barat,awas distribusi logistik milu pilih wilayah kalimantan barat,Topik 2,0.9027128536815302
D058,Kalimantan Barat,Logistik TPS,Pengawasan perlengkapan TPS pada tahapan Pemilu dan Pemilihan Tahun 2024.,pengawasan perlengkapan tps pada tahapan pemilu dan pemilihan tahun,pengawasan perlengkapan tps pada tahapan pemilu dan pemilihan tahun,pengawasan perlengkapan tps pada tahapan pemilu dan pemilihan tahun,pengawasan perlengkapan tps tahapan pemilu pemilihan tahun,awas lengkap tps tahap milu pilih tahun,awas lengkap tps tahap milu pilih tahun,Topik 5,0.4413287102039994
D059,Kalimantan Barat,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun,evaluasi laksana awas logistik milu pilih tahun,evaluasi laksana awas logistik milu pilih tahun,Topik 8,0.8905244059660606
D060,Kalimantan Barat,Administrasi Logistik,Pelaporan dan dokumentasi pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dokumentasi pengawasan logistik pemilu pemilihan tahun,lapor dokumentasi awas logistik milu pilih tahun,lapor dokumentasi awas logistik milu pilih tahun,Topik 5,0.8905538746817806
D061,Kalimantan Selatan,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Selatan.,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan selatan,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan selatan,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan selatan,laporan akhir pengawasan logistik pemilu pemilihan tahun provinsi kalimantan selatan,lapor akhir awas logistik milu pilih tahun provinsi kalimantan selatan,lapor akhir awas logistik milu pilih tahun provinsi kalimantan selatan,Topik 8,0.9203939830593824
D062,Kalimantan Selatan,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Selatan.,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan selatan,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan selatan,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan selatan,pengawasan distribusi logistik pemilu pemilihan wilayah kalimantan selatan,awas distribusi logistik milu pilih wilayah kalimantan selatan,awas distribusi logistik milu pilih wilayah kalimantan selatan,Topik 2,0.6610652596842321
D063,Kalimantan Selatan,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu pemilihan tahun,awas ada logistik milu pilih tahun,awas ada logistik milu pilih tahun,Topik 2,0.8748643230837935
D064,Kalimantan Selatan,Kekurangan Logistik,Temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan Pemilu.,temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan pemilu,temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan pemilu,temuan kendala dan kekurangan logistik pada tahapan penyelenggaraan pemilu,temuan kendala kekurangan logistik tahapan penyelenggaraan pemilu,temu kendala kurang logistik tahap selenggara milu,temu kendala kurang logistik tahap selenggara milu,Topik 6,0.6496766818339197
D065,Kalimantan Selatan,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun,evaluasi laksana awas logistik milu pilih tahun,evaluasi laksana awas logistik milu pilih tahun,Topik 8,0.8905244059660606
D066,Kalimantan Tengah,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Tengah.,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan tengah,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan tengah,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan tengah,laporan akhir pengawasan logistik pemilu pemilihan tahun provinsi kalimantan tengah,lapor akhir awas logistik milu pilih tahun provinsi kalimantan tengah,lapor akhir awas logistik milu pilih tahun provinsi kalimantan tengah,Topik 8,0.7221249852203948
D067,Kalimantan Tengah,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Tengah.,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan tengah,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan tengah,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan tengah,pengawasan distribusi logistik pemilu pemilihan wilayah kalimantan tengah,awas distribusi logistik milu pilih wilayah kalimantan tengah,awas distribusi logistik milu pilih wilayah kalimantan tengah,Topik 2,0.9027220800225815
D068,Kalimantan Tengah,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu pemilihan tahun,awas ada logistik milu pilih tahun,awas ada logistik milu pilih tahun,Topik 2,0.8748643230837935
D069,Kalimantan Tengah,Logistik PSU,Pengawasan logistik pada pelaksanaan Pemungutan Suara Ulang (PSU).,pengawasan logistik pada pelaksanaan pemungutan suara ulang psu,pengawasan logistik pada pelaksanaan pemungutan suara ulang psu,pengawasan logistik pada pelaksanaan pemungutan suara ulang psu,pengawasan logistik pelaksanaan pemungutan suara ulang psu,awas logistik laksana mungut suara ulang psu,awas logistik laksana mungut suara ulang psu,Topik 7,0.7394402237456581
D070,Kalimantan Tengah,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun,evaluasi laksana awas logistik milu pilih tahun,evaluasi laksana awas logistik milu pilih tahun,Topik 8,0.8905244059660606
D071,Kalimantan Utara,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Utara.,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu pemilihan tahun provinsi kalimantan utara,lapor akhir awas logistik milu pilih tahun provinsi kalimantan utara,lapor akhir awas logistik milu pilih tahun provinsi kalimantan utara,Topik 8,0.920400296444382
D072,Kalimantan Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Utara.,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu pemilihan wilayah kalimantan utara,awas distribusi logistik milu pilih wilayah kalimantan utara,awas distribusi logistik milu pilih wilayah kalimantan utara,Topik 2,0.6610680485210173
D073,Kalimantan Utara,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu pemilihan tahun,awas ada logistik milu pilih tahun,awas ada logistik milu pilih tahun,Topik 2,0.8748643230837935
